Reference Date,Pair Date,Average Coherence
2021-10-04,2021-10-08,
2021-10-04,2021-10-12,
2021-10-04,2021-10-16,0.26759272813797
2021-10-04,2021-10-20,
2021-10-04,2021-10-24,
2021-10-04,2021-10-28,0.24436387419700625
2021-10-04,2021-11-01,
2021-10-04,2021-11-05,
2021-10-04,2021-11-09,0.23211199045181274
2021-10-04,2021-11-13,
2021-10-04,2021-11-17,
2021-10-04,2021-11-21,0.2468216121196747
2021-10-04,2021-11-25,
2021-10-04,2021-11-29,
2021-10-04,2021-12-03,0.24998441338539126
2021-10-04,2021-12-07,
2021-10-04,2021-12-11,
2021-10-04,2021-12-15,
2021-10-04,2021-12-19,
2021-10-04,2021-12-23,
2021-10-04,2021-12-27,
2021-10-04,2021-12-31,
2021-10-04,2022-01-04,
2021-10-04,2022-01-08,
2021-10-04,2022-01-12,
2021-10-04,2022-01-16,
2021-10-04,2022-01-20,
2021-10-04,2022-01-24,
2021-10-04,2022-01-28,
2021-10-04,2022-02-01,
2021-10-04,2022-02-05,
2021-10-04,2022-02-09,
2021-10-04,2022-02-13,
2021-10-04,2022-02-17,
2021-10-04,2022-02-21,
2021-10-04,2022-02-25,
2021-10-04,2022-03-01,
2021-10-04,2022-03-05,
2021-10-04,2022-03-09,
2021-10-04,2022-03-13,
2021-10-04,2022-03-17,
2021-10-04,2022-03-21,
2021-10-04,2022-03-25,
2021-10-04,2022-03-29,
2021-10-04,2022-04-02,
2021-10-04,2022-04-06,
2021-10-04,2022-04-10,
2021-10-04,2022-04-14,
2021-10-04,2022-04-18,
2021-10-04,2022-04-22,
2021-10-04,2022-04-26,
2021-10-04,2022-04-30,
2021-10-04,2022-05-04,
2021-10-04,2022-05-08,
2021-10-08,2021-10-12,
2021-10-08,2021-10-16,
2021-10-08,2021-10-20,
2021-10-08,2021-10-24,
2021-10-08,2021-10-28,
2021-10-08,2021-11-01,
2021-10-08,2021-11-05,
2021-10-08,2021-11-09,
2021-10-08,2021-11-13,
2021-10-08,2021-11-17,
2021-10-08,2021-11-21,
2021-10-08,2021-11-25,
2021-10-08,2021-11-29,
2021-10-08,2021-12-03,
2021-10-08,2021-12-07,
2021-10-08,2021-12-11,
2021-10-08,2021-12-15,
2021-10-08,2021-12-19,
2021-10-08,2021-12-23,
2021-10-08,2021-12-27,
2021-10-08,2021-12-31,
2021-10-08,2022-01-04,
2021-10-08,2022-01-08,
2021-10-08,2022-01-12,
2021-10-08,2022-01-16,
2021-10-08,2022-01-20,
2021-10-08,2022-01-24,
2021-10-08,2022-01-28,
2021-10-08,2022-02-01,
2021-10-08,2022-02-05,
2021-10-08,2022-02-09,
2021-10-08,2022-02-13,
2021-10-08,2022-02-17,
2021-10-08,2022-02-21,
2021-10-08,2022-02-25,
2021-10-08,2022-03-01,
2021-10-08,2022-03-05,
2021-10-08,2022-03-09,
2021-10-08,2022-03-13,
2021-10-08,2022-03-17,
